SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude
二林,彰化縣,57,懸浮微粒,普通,6.3,0.59,0.5,61,49,81,16,16,17,1.3,4.6,1.3,2019-03-04 16:00,14,63,3,120.409653,23.925175
三重,新北市,52,細懸浮微粒,普通,2.7,1.57,1.7,-,,75,15,45,146,101,,,2019-03-04 16:00,16,54,2,121.493806,25.072611
三義,苗栗縣,58,細懸浮微粒,普通,3.3,0.51,0.4,75,56,42,29,10,13,2.4,4.2,11,2019-03-04 16:00,18,31,3,120.758833,24.382942
土城,新北市,51,細懸浮微粒,普通,1.9,0.62,0.6,53,45,41,15,14,17,2.1,2.8,1.5,2019-03-04 16:00,16,31,2,121.451861,24.982528
士林,臺北市,42,,良好,1.1,0.52,0.5,50,45,29,11,7.2,9.6,2.3,4.5,42,2019-03-04 16:00,8,26,1,121.515389,25.105417
大同,臺北市,45,,良好,2,0.85,1.0,-,,33,17,26,39,13,,,2019-03-04 16:00,14,34,2,121.513311,25.0632
大里,臺中市,48,,良好,2.3,0.56,0.5,79,52,43,14,16,17,1.1,2.1,339,2019-03-04 16:00,12,30,2,120.677689,24.099611
大園,桃園市,45,,良好,1.7,0.5,0.5,56,49,37,15,9.9,13,3.1,8.5,31,2019-03-04 16:00,14,28,1,121.201811,25.060344
大寮,高雄市,69,細懸浮微粒,普通,5.1,0.35,0.5,64,47,36,20,11,12,1.1,2.6,221,2019-03-04 16:00,23,40,4,120.425081,22.565747
小港,高雄市,61,細懸浮微粒,普通,3.1,0.29,0.5,65,42,39,14,14,16,1.9,2.5,262,2019-03-04 16:00,20,40,4,120.337736,22.565833
中山,臺北市,33,,良好,0.7,0.67,0.7,47,36,34,11,17,20,3.8,3.3,101,2019-03-04 16:00,10,34,1,121.526528,25.062361
中壢,桃園市,40,,良好,3.7,1.16,1.2,35,28,36,6,34,49,15,1.9,351,2019-03-04 16:00,12,34,2,121.221667,24.953278
仁武,高雄市,73,細懸浮微粒,普通,2.5,0.32,0.5,69,48,29,14,7.3,9.5,2.2,3,247,2019-03-04 16:00,25,35,4,120.332631,22.689056
斗六,雲林縣,71,細懸浮微粒,普通,5.3,0.47,0.4,86,57,63,31,10,12,1.9,2.2,353,2019-03-04 16:00,24,48,2,120.544994,23.711853
冬山,宜蘭縣,40,,良好,0.8,0.56,0.5,47,43,36,8,15,17,2.9,2.1,33,2019-03-04 16:00,9,34,1,121.792928,24.632203
古亭,臺北市,53,細懸浮微粒,普通,2,0.59,0.6,51,43,37,15,13,16,2.7,4,57,2019-03-04 16:00,16,34,1,121.529556,25.020608
左營,高雄市,89,細懸浮微粒,普通,2,0.31,0.5,71,51,33,27,6.9,7.7,0.8,3.5,295,2019-03-04 16:00,31,39,2,120.292917,22.674861
平鎮,桃園市,49,,良好,2.8,0.64,0.7,47,43,40,26,23,32,8.7,3,58,2019-03-04 16:00,15,31,2,121.203986,24.952786
永和,新北市,44,,良好,0.9,0.67,0.7,49,41,37,14,14,19,4.4,4.1,69,2019-03-04 16:00,13,32,1,121.516306,25.017
安南,臺南市,66,細懸浮微粒,普通,1.7,0.37,0.4,70,53,60,20,7.1,7.1,0,3.8,314,2019-03-04 16:00,22,54,2,120.2175,23.048197
朴子,嘉義縣,48,,良好,2.2,0.4,0.4,63,52,51,7,12,17,5.5,2.7,340,2019-03-04 16:00,13,45,2,120.24781,23.467123
汐止,新北市,41,,良好,1.7,0.55,0.6,52,42,25,11,7.7,10,2.4,4.4,28,2019-03-04 16:00,13,24,2,121.6423,25.067131
竹山,南投縣,80,細懸浮微粒,普通,2.7,0.43,0.4,,40,,35,8.7,11,2,2.7,302,2019-03-04 16:00,27,41,2,120.677306,23.756389
竹東,新竹縣,46,,良好,0.9,0.49,0.4,47,41,28,11,9.9,12,1.9,3.1,6.1,2019-03-04 16:00,14,30,1,121.088903,24.740644
西屯,臺中市,58,臭氧八小時,普通,2,0.48,0.4,76,57,54,21,12,13,0.9,2.8,350,2019-03-04 16:00,16,44,2,120.616917,24.162197
沙鹿,臺中市,61,臭氧八小時,普通,1.3,0.55,0.4,73,58,44,21,9.2,10,0.8,5.9,349,2019-03-04 16:00,17,35,1,120.568794,24.225628
宜蘭,宜蘭縣,48,,良好,1.6,0.57,0.5,55,47,36,17,4.7,5.2,0.5,2.5,77,2019-03-04 16:00,15,34,1,121.746394,24.747917
忠明,臺中市,50,,良好,1.7,0.54,0.4,55,38,46,20,21,24,2.9,2,329,2019-03-04 16:00,15,29,1,120.641092,24.151958
松山,臺北市,36,,良好,2.8,0.57,0.6,43,39,32,,15,19,3.4,4,49,2019-03-04 16:00,11,33,2,121.578611,25.05
板橋,新北市,46,,良好,3.9,0.61,0.7,46,38,38,16,18,21,3,5.6,76,2019-03-04 16:00,14,33,2,121.458667,25.012972
林口,新北市,42,,良好,1.8,0.51,0.5,49,45,38,15,15,21,6.3,3.4,95,2019-03-04 16:00,12,32,1,121.376869,25.077197
林園,高雄市,74,細懸浮微粒,普通,1.9,0.29,0.5,75,52,33,16,6.3,7.1,0.8,2.6,269,2019-03-04 16:00,25,40,5,120.41175,22.4795
花蓮,花蓮縣,44,,良好,1.6,0.58,0.4,47,47,35,15,11,12,0.7,1.9,6.9,2019-03-04 16:00,9,29,1,121.599769,23.971306
金門,金門縣,87,細懸浮微粒,普通,1.8,0.55,0.6,60,46,29,25,7.9,9.3,1.4,4.1,103,2019-03-04 16:00,30,47,3,118.312256,24.432133
前金,高雄市,77,細懸浮微粒,普通,2.5,0.37,0.5,72,52,37,13,5.7,8.4,2.6,3,343,2019-03-04 16:00,26,38,2,120.288086,22.632567
前鎮,高雄市,47,,良好,2,0.33,0.6,65,43,39,7,12,14,2,1.7,326,2019-03-04 16:00,14,43,3,120.307564,22.605386
南投,南投縣,64,細懸浮微粒,普通,1.1,0.49,0.5,63,42,48,22,14,15,1.6,2.1,20,2019-03-04 16:00,21,39,1,120.685306,23.913
屏東,屏東縣,76,細懸浮微粒,普通,3.3,0.41,0.5,71,55,47,18,14,15,0.7,3.4,230,2019-03-04 16:00,26,45,3,120.488033,22.673081
屏東(琉球),屏東縣,65,細懸浮微粒,普通,2.6,0.29,0.4,76,52,26,17,8,9.2,1.2,3.3,325,2019-03-04 16:00,21,28,5,120.377222,22.352222
恆春,屏東縣,48,,良好,1.1,0.25,0.2,58,52,21,6,1.6,2.4,0.7,6.8,58,2019-03-04 16:00,7,18,1,120.788928,21.958069
美濃,高雄市,68,細懸浮微粒,普通,,,0.4,,49,,,,,,3,240,2019-03-04 16:00,23,55,2,120.530542,22.883583
苗栗,苗栗縣,61,細懸浮微粒,普通,5.1,0.61,0.6,46,40,52,21,17,20,3,3.2,348,2019-03-04 16:00,20,41,3,120.8202,24.565269
埔里,南投縣,47,,良好,1.4,0.3,0.3,83,51,38,18,10,10,0,4,309,2019-03-04 16:00,13,34,2,120.967903,23.968842
桃園,桃園市,53,細懸浮微粒,普通,3.5,0.67,0.7,42,35,33,19,13,15,2.6,3.2,63,2019-03-04 16:00,16,32,3,121.304383,24.995368
馬公,澎湖縣,39,,良好,1.4,0.41,0.4,42,35,28,15,6.5,8.5,2,3.9,17,2019-03-04 16:00,12,21,1,119.566158,23.569031
馬祖,連江縣,67,細懸浮微粒,普通,1.5,0.55,0.6,73,53,41,26,7.6,7.9,0.2,2.4,314,2019-03-04 16:00,22,33,2,119.949875,26.160469
基隆,基隆市,44,,良好,1,0.52,0.5,56,48,34,13,6.1,7,0.9,2.1,71,2019-03-04 16:00,12,27,2,121.760056,25.129167
崙背,雲林縣,81,細懸浮微粒,普通,2.7,0.47,0.4,80,57,51,36,11,11,0.5,4.1,348,2019-03-04 16:00,28,41,3,120.348742,23.757547
淡水,新北市,47,,良好,3,0.47,0.5,59,51,24,15,3.5,4.1,0.6,,,2019-03-04 16:00,12,22,2,121.449239,25.1645
麥寮,雲林縣,47,,良好,1.8,0.49,0.4,69,51,56,16,7.2,8.2,1,4.9,4.1,2019-03-04 16:00,14,46,2,120.251825,23.753506
善化,臺南市,63,細懸浮微粒,普通,1.7,0.34,0.3,70,47,64,19,7.8,11,2.7,2.7,304,2019-03-04 16:00,20,53,2,120.297142,23.115097
富貴角,新北市,48,,良好,0.2,0.45,0.4,58,52,41,19,2.6,2.6,0,6.5,79,2019-03-04 16:00,14,36,1,121.536763,25.298562
復興,高雄市,74,細懸浮微粒,普通,1.8,0.4,0.7,60,40,33,17,12,14,1.9,1.7,221,2019-03-04 16:00,25,39,3,120.312017,22.608711
湖口,新竹縣,49,,良好,2.4,0.53,0.5,60,53,43,17,8.2,9.6,1.5,5.5,35,2019-03-04 16:00,15,36,2,121.038653,24.900142
菜寮,新北市,58,細懸浮微粒,普通,1.4,0.64,0.6,48,41,30,16,11,14,2.7,4.5,84,2019-03-04 16:00,18,29,1,121.481028,25.06895
陽明,臺北市,43,,良好,0.5,0.47,0.4,53,46,26,13,2.1,2.5,0.3,,,2019-03-04 16:00,11,20,1,121.529583,25.182722
新竹,新竹市,63,細懸浮微粒,普通,2.3,0.57,0.5,56,49,47,22,13,14,0.7,3.8,34,2019-03-04 16:00,20,40,2,120.972075,24.805619
新店,新北市,41,,良好,1.3,0.61,0.6,50,42,30,14,12,14,2.2,1.7,59,2019-03-04 16:00,13,28,1,121.537778,24.977222
新莊,新北市,36,,良好,2.7,0.58,0.6,49,39,35,15,,,,7.1,54,2019-03-04 16:00,11,29,2,121.4325,25.037972
新港,嘉義縣,60,細懸浮微粒,普通,2.2,0.4,0.4,67,49,60,13,7.2,7.8,0.6,3.6,329,2019-03-04 16:00,19,50,2,120.345531,23.554839
新營,臺南市,60,細懸浮微粒,普通,2.4,0.38,0.4,53,38,44,13,7.8,8.3,0.5,2.6,360,2019-03-04 16:00,19,43,2,120.31725,23.305633
楠梓,高雄市,79,細懸浮微粒,普通,1.9,0.32,0.4,64,47,36,11,8.3,10,1.8,3.1,288,2019-03-04 16:00,27,40,2,120.328289,22.733667
萬里,新北市,50,,良好,2.4,0.49,0.5,62,54,41,15,2.1,3,0.9,7,49,2019-03-04 16:00,13,37,2,121.689881,25.179667
萬華,臺北市,31,,良好,3,0.63,0.6,40,34,35,11,17,21,4.2,5,87,2019-03-04 16:00,7,32,1,121.507972,25.046503
嘉義,嘉義市,81,細懸浮微粒,普通,3.6,0.46,0.5,72,45,51,27,8.7,10,1.3,3.4,341,2019-03-04 16:00,28,46,3,120.440833,23.462778
彰化,彰化縣,67,細懸浮微粒,普通,1,0.57,0.5,71,52,51,25,12,13,0.6,3.7,343,2019-03-04 16:00,22,41,1,120.541519,24.066
彰化(大城),彰化縣,71,臭氧八小時,普通,1.6,0.3,0.3,87,61,30,20,5.6,6.9,1.4,5.1,360,2019-03-04 16:00,14,22,2,120.273117,23.843139
臺西,雲林縣,61,臭氧八小時,普通,2.1,0.42,0.4,77,58,36,19,5.3,6.3,1,8,14,2019-03-04 16:00,18,28,3,120.202842,23.717533
臺東,臺東縣,31,,良好,1.4,0.45,0.4,37,33,24,10,5.4,7,1.6,3.4,11,2019-03-04 16:00,7,22,1,121.15045,22.755358
臺南,臺南市,67,細懸浮微粒,普通,1.8,0.45,0.4,65,51,44,11,8.4,9.3,0.9,3.2,312,2019-03-04 16:00,22,43,2,120.202617,22.984581
臺南(玉井),臺南市,61,細懸浮微粒,普通,,,0.2,76,39,,,,,,0.6,309,2019-03-04 16:00,19,42,3,120.469736,23.122169
鳳山,高雄市,56,細懸浮微粒,普通,1.8,0.49,0.6,65,44,41,11,16,17,1.5,1.8,256,2019-03-04 16:00,18,40,4,120.358083,22.627392
潮州,屏東縣,66,細懸浮微粒,普通,1.4,0.27,0.4,65,48,52,15,9.6,11,1.6,2.9,211,2019-03-04 16:00,22,43,2,120.561175,22.523108
線西,彰化縣,59,細懸浮微粒,普通,4.1,0.69,0.6,66,52,,,15,16,1.1,6.2,21,2019-03-04 16:00,19,45,3,120.469061,24.131672
橋頭,高雄市,81,細懸浮微粒,普通,2,0.29,0.4,67,50,27,15,7.2,7.8,0.6,3.1,266,2019-03-04 16:00,28,35,2,120.305689,22.757506
頭份,苗栗縣,65,細懸浮微粒,普通,3.1,0.59,0.6,54,44,44,23,14,17,2.3,3,29,2019-03-04 16:00,21,36,1,120.898572,24.696969
龍潭,桃園市,,,設備維護,,,,,,,,,,,,,2019-03-04 16:00,,,,121.21635,24.863869
豐原,臺中市,50,,良好,4.1,0.51,0.4,73,51,49,25,17,19,2.3,3,326,2019-03-04 16:00,15,31,2,120.741711,24.256586
關山,臺東縣,31,,良好,,-,,34,33,18,7,4.9,7.4,2.5,2,34,2019-03-04 16:00,8,18,,121.161933,23.045083
觀音,桃園市,54,細懸浮微粒,普通,3,0.55,0.5,53,49,47,20,4.8,5.8,1.1,7.7,53,2019-03-04 16:00,17,36,2,121.082761,25.035503
