十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址（里鄰）,地址,聯絡電話,座標緯度,座標經度,備註
501010019,三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,105,,臺北市松山區健康路131號,02-27648850,25.054373,121.557672,null
501110514,三軍總醫院附設民眾診療服務處,臺北市,內湖區,114,,臺北市內湖區成功路2段325號,02-8792-3311轉88017,25.0718315,121.5899564,null
3501154180,士林小兒科診所,臺北市,士林區,111,,臺北市士林區中正路249號,02-28812485,25.0949909,121.5251834,null
3501107725,大直佳恩診所,臺北市,中山區,104,,臺北市中山區北安路591號,02-25323301,25.081959,121.548607,null
3501103272,大直診所,臺北市,中山區,104,,臺北市中山區北安路595巷2弄2號,02-25332339,25.081895,121.5482959,null
3501013157,大家好診所,臺北市,松山區,105,,臺北市松山區民生東路四段80巷11弄2號,02-27138819,25.056555,121.5530934,null
3501113714,大湖診所,臺北市,內湖區,114,,臺北市內湖區成功路四段366號,02-27906002,25.0848386,121.6004134,null
350102C576,小禾馨小兒專科診所,臺北市,大安區,106,,臺北市大安區新生南路3段4號,02-23698833,25.0255359,121.534519,null
3501114033,小禾馨民權小兒專科診所,臺北市,內湖區,114,,臺北市內湖區行忠路191號,02-27910233,25.067381,121.5817747,null
3501185774,小禾馨懷寧小兒專科診所,臺北市,中正區,100,,臺北市中正區重慶南路1段99號,02-2311-0353,25.043041,121.513371,null
901020013,中山醫療社團法人中山醫院,臺北市,大安區,106,,臺北市仁愛路4段112巷11號,02-27081166,25.0366641,121.5499766,null
1301110511,中國醫藥大學附設醫院臺北分院,臺北市,內湖區,114,,臺北市內湖區內湖路2段360號,02-27919696,25.0821594,121.5906412,null
3501100182,中崙聯合診所,臺北市,中山區,104,,臺北市中山區八德路2段303號,02-27711501,25.047355,121.542574,null
3501113330,仁弘耳鼻喉科診所,臺北市,內湖區,114,,臺北市內湖區內湖路一段737巷50弄37號1樓,02-26596360,25.0807401,121.5784754,null
3501022496,仁安診所,臺北市,大安區,106,,臺北市大安區和平東路2段175巷34號,02-2706-5995,25.0268595,121.5417488,null
3501121627,天仁小兒科診所,臺北市,南港區,115,,臺北市南港區成福路21號,02-27862687,25.0448163,121.5867293,null
3501121823,天仁健康診所,臺北市,南港區,115,,臺北市南港區成福路21號,02-27862687,25.0448163,121.5867293,null
4001020028,尹書田醫療財團法人書田泌尿科眼科診所,臺北市,大安區,106,,臺北市大安區建國南路2段276號,02-23690211,25.0252453,121.5372012,null
3501112851,日新診所,臺北市,內湖區,114,,臺北市內湖區成功路5段446號1樓,02-26342743,25.0747773,121.6071781,null
3501100815,木生婦產科,臺北市,中山區,104,,臺北市中山區長安東路2段90號1-4樓,02-25012312,25.0483693,121.5345283,null
3501110115,王慶森診所,臺北市,內湖區,114,,臺北市內湖區港墘路65號1樓,02-27986052,25.0811872,121.5783256,null
3501101849,北安聯合診所,臺北市,中山區,104,,臺北市中山區北安路569之3號,02-25337777,25.0809329,121.548257,null
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,104,,臺北市中山區中山北路二段92號,02-25433535,25.0588322,121.5223675,null
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院兒童醫院,臺北市,中山區,104,,臺北市中山區中山北路2段92號,02-25433535,25.0588322,121.5223675,null
3501108008,四季和安婦幼診所,臺北市,中山區,104,,臺北市中山區林森北路458號,02-25677310,25.0608885,121.5254296,null
3501121743,永育診所,臺北市,南港區,115,,臺北市南港區福德街320-2號,02-27850700,25.0395556,121.5881856,null
3501113929,禾馨民權婦幼診所,臺北市,內湖區,114,,臺北市內湖區民權東路6段42號2樓,02-55713333,25.0674957,121.5816723,null
350102B364,禾馨新生婦幼診所,臺北市,大安區,106,,臺北市大安區新生南路三段2號,02-23682333,25.025746,121.534531,null
3501194648,光耳鼻喉科診所,臺北市,萬華區,108,,臺北市萬華區青年路90號,02-23078697,25.0230957,121.5025857,null
3501150422,存德小兒科診所,臺北市,士林區,111,,臺北市士林區文林路460號,02-28342567,25.0956427,121.5246202,null
3501013031,安美診所,臺北市,松山區,105,,臺北市松山區八德路二段400號三樓,02-27214153,25.0480199,121.5465857,null
3501112904,成安耳鼻喉科診所,臺北市,內湖區,114,,臺北市內湖區成功路四段153號,02-27937201,25.0831562,121.5940163,null
3501181267,朱小兒科診所,臺北市,中正區,100,,臺北市中正區汀州路2段220號,02-23651810,25.0220979,121.5240056,null
3501011260,江崇萍小兒科診所,臺北市,松山區,105,,臺北市松山區南京東路五段251巷24弄27號1樓,02-27632260,25.0523388,121.5643544,null
901190010,西園醫療社團法人西園醫院,臺北市,萬華區,108,,臺北市萬華區西園路2段270號,02-23076968,25.027621,121.494327,null
3501151938,何小兒科診所,臺北市,士林區,111,,臺北市士林區福港街176號,02-28827401,25.0866159,121.517654,null
3501162940,何叔芳小兒科診所,臺北市,北投區,112,,臺北市北投區裕民四路4號1樓,02-28206886,25.1154504,121.5158648,null
3501021239,吳坤光婦產科診所,臺北市,大安區,106,,臺北市大安區信義路4段59號,02-27059320,25.0334998,121.5454617,null
3501173765,宏安診所,臺北市,信義區,110,,臺北市信義區忠孝東路5段191號1樓,02-27611271,25.0412402,121.5694266,null
3501163072,宏恩兒科診所,臺北市,北投區,112,,臺北市北投區致遠一路2段99號,02-28271110,25.1129187,121.5129368,null
3501194424,快樂兒童診所,臺北市,萬華區,108,,臺北市萬華區寶興街121號1樓,02-23328610,25.0252155,121.4948481,null
3501121814,李文珍診所,臺北市,南港區,115,,臺北市南港區研究院路2段74號,02-26511871,25.0455491,121.6151031,null
3501150208,李世澤小兒科內科診所,臺北市,士林區,111,,臺北市士林區社子街67號,02-28111472,25.0874854,121.5067042,null
3501161185,李伯匯小兒科診所,臺北市,北投區,112,,臺北市北投區石牌路1段93號,02-28221212,25.1139841,121.511753,null
3501122044,杏安診所,臺北市,南港區,115,,臺北市南港區同德路76號1樓,02-27892008,25.045705,121.585453,null
3501106559,杏慈診所,臺北市,中山區,104,,臺北市中山區民權東路2段152巷2-1號,02-25013109,25.0619306,121.5350314,null
3501113849,育睿診所,臺北市,內湖區,114,,臺北市內湖區內湖路1段217巷35號,02-26560801,25.083774,121.565248,null
3501153236,貝爾聯合診所,臺北市,士林區,111,,臺北市士林區中山北路7段82巷9號,02-28729980,25.1213853,121.5324362,null
3501011493,車參薇小兒科診所,臺北市,松山區,105,,臺北市松山區八德路三段195號1樓,02-25770101,25.0481228,121.5560747,null
3501028845,那明珠診所,臺北市,大安區,106,,臺北市大安區和平東路3段8號1樓,02-27360589,25.0245656,121.5470747,null
3501194835,佳安診所,臺北市,萬華區,108,,臺北市萬華區青年路34號,02-23320898,25.025656,121.5045486,null
1501100037,協和婦女醫院,臺北市,中山區,104,,臺北市中山區松江路85巷5號,02-25072222,25.0502613,121.5339092,null
3501181810,周正成小兒科診所,臺北市,中正區,100,,臺北市中正區忠孝東路2段22號,02-23516830,25.0435644,121.5274659,null
3501153941,周怡宏小兒科診所,臺北市,士林區,111,,臺北市士林區基河路200號,02-28825200,25.090329,121.52172,null
3501154215,和謙耳鼻喉科診所,臺北市,士林區,111,,臺北市士林區社中街362號,02-28165678,25.0925188,121.5041195,null
3501108277,固廉診所,臺北市,中山區,104,,臺北市中山區林森北路516號2樓,02-25323036,25.0622695,121.5254611,null
3501201219,官世英診所,臺北市,文山區,116,,臺北市文山區景興路45號,02-86638189,24.9970569,121.544873,null
3501202458,屈銘軒兒科診所,臺北市,文山區,116,,臺北市文山區興隆路二段301巷4-2號,02-29308518,25.0017769,121.5535166,null
3501025648,延吉診所,臺北市,大安區,106,,臺北市大安區延吉街241巷2弄5號1樓,02-27035082,25.0358565,121.555966,null
3501151849,忠誠聯合診所,臺北市,士林區,111,,臺北市士林區德行東路109巷102弄6號,02-88661176,25.1108147,121.5291425,null
3501202967,東翰診所,臺北市,文山區,116,,臺北市文山區興隆路二段139號,02-29308330,25.0002238,121.5481691,null
3501174566,松展診所,臺北市,信義區,110,,臺北市信義區松隆路88號,02-27631373,25.0445809,121.569419,null
3501029931,松德診所,臺北市,大安區,106,,臺北市大安區四維路170巷16號,02-27073326,25.028121,121.547333,null
3501110777,林永正診所,臺北市,內湖區,114,,臺北市內湖區康樂街130號,02-26315567,25.0716149,121.6191212,null
3501112860,林孟勳診所,臺北市,內湖區,114,,臺北市內湖區成功路4段61巷32弄2號1樓,02-87920955,25.0809985,121.5933485,null
3501200794,林建輝小兒科診所,臺北市,文山區,116,,臺北市文山區興隆路二段70號1F,02-29354933,24.9996957,121.5479392,null
3501191441,林進雄診所,臺北市,萬華區,108,,台北市萬華區桂林路102號,02-23040998,25.0383483,121.5001198,null
3501173425,林應然兒科診所,臺北市,信義區,110,,臺北市信義區福德街75號,02-27595328,25.0368775,121.5810812,null
3501021720,林繼國診所,臺北市,大安區,106,,臺北市大安區忠孝東路3段217巷1弄12號,02-27315568,25.0424121,121.5391212,null
3501150388,邱世昌診所,臺北市,士林區,111,,臺北市士林區文林路718號,02-28328088,25.1024835,121.5207709,null
3501029351,邱醫師診所,臺北市,大安區,106,,臺北市大安區和平東路3段288號,02-27392696,25.0208366,121.5560328,null
1101010012,長庚醫療財團法人臺北長庚紀念醫院,臺北市,松山區,105,,臺北市松山區敦化北路199號,02-27135211,25.0555992,121.5496556,null
3501171716,長風兒科診所,臺北市,信義區,110,,臺北市信義區莊敬路351號,02-27227943,25.0279116,121.5645469,null
3501194451,青年診所,臺北市,萬華區,108,,臺北市萬華區中華路2段424號,02-23032450,25.0275451,121.5061149,null
3501170237,信義邱婦產科,臺北市,信義區,110,,臺北市信義區虎林街198號,02-27278275,25.0384252,121.5768581,null
3501090458,施小兒科診所,臺北市,大同區,103,,臺北市大同區重慶北路3段28號,02-25941935,25.0650092,121.5134215,null
3501161363,昱德聯合診所,臺北市,北投區,112,,臺北市北投區光明路102號,02-28975050,25.1330835,121.5012122,null
3501201004,洪佑承小兒專科診所,臺北市,文山區,116,,臺北市文山區興隆路四段64之2號1F,02-29364708,24.9850295,121.5613404,null
3501154279,科安診所,臺北市,士林區,111,,臺北市士林區社中街116號,02-28110699,25.0898532,121.5104042,null
350102A107,夏爾診所,臺北市,大安區,106,,臺北市大安區信義路4段265巷54號,02-23255508,25.035149,121.555732,null
3501202510,徐慧玲診所,臺北市,文山區,116,,臺北市文山區興隆路4段99號,02-22340000,24.9883209,121.560435,null
3501184393,悅心診所,臺北市,中正區,100,,臺北市中正區羅斯福路二段7-2號,02-23961008,25.0291119,121.521236,null
1101160017,振興醫療財團法人振興醫院 ,臺北市,北投區,112,,臺北市北投區振興路45號,02-28264400,25.117512,121.5224672,null
3501195869,益銓診所,臺北市,萬華區,108,,臺北市萬華區萬大路233號,02-23331323,25.0264465,121.5007052,null
3501110982,馬思特診所,臺北市,內湖區,114,,臺北市內湖區成功路4段53號1樓,02-27925994,25.0816365,121.5921395,null
3501105310,高固廉診所,臺北市,中山區,104,,臺北市中山區北安路613號,02-25323036,25.082687,121.548768,null
3501183850,健康101診所,臺北市,中正區,100,,臺北市中正區牯嶺街97號1樓,02-23645143,25.0258416,121.5191215,null
3501029922,健華診所,臺北市,大安區,106,,臺北市大安區和平東路2段255號/257號4樓,02-27072990,25.025065,121.5437876,null
3501022843,啟誠聯合診所,臺北市,大安區,106,,臺北市和平東路2段120號,02-23784380,25.0247302,121.5429344,null
401190010,國立臺灣大學醫學院附設醫院北護分院,臺北市,萬華區,108,,臺北市萬華區內江街87號,02-23717101,25.0417202,121.5035737,null
401180023,國立臺灣大學醫學院附設醫院兒童醫院,臺北市,中正區,100,,臺北市中正區中山南路8號,02-23123456,25.0442304,121.5188189,null
4001110018,國泰醫療財團法人內湖國泰診所,臺北市,內湖區,114,,臺北市內湖區瑞光路506號,02-87972121,25.0794032,121.5677841,null
1101020018,國泰醫療財團法人國泰綜合醫院,臺北市,大安區,106,,臺北市大安區仁愛路4段280號,02-27082121,25.0368886,121.5535802,null
1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市,松山區,105,,臺北市松山區八德路二段424號,02-27718151,25.0480541,121.547339,null
1101110026,康寧醫療財團法人康寧醫院,臺北市,內湖區,114,,臺北市內湖區成功路5段420巷26號2樓,02-26345500,25.0758907,121.6089476,null
3501113410,康樂診所,臺北市,內湖區,114,,臺北市內湖區康樂街82號,02-26308800,25.0702879,121.618858,null
3501171225,張育驍診所,臺北市,信義區,110,,臺北市信義區吳興街467巷2弄6號地下一樓,02-27296611,25.0238695,121.5693372,null
3501153665,張虔熙小兒科診所,臺北市,士林區,111,,臺北市士林區中山北路6段282號,02-28361368,25.1101063,121.5256059,null
3501107645,惟廉診所,臺北市,中山區,104,,臺北市中山區北安路595巷1號B1,02-25323036,25.0822668,121.548573,null
3501160982,清田婦產科家醫科診所,臺北市,北投區,112,,臺北市北投區中和街268號,02-28931323,25.1401886,121.500679,null
3501113134,焉醫師診所,臺北市,內湖區,114,,臺北市內湖區內湖路二段21號,02-27995008,25.078903,121.5795183,null
3501105445,莊宇龍診所,臺北市,中山區,104,,臺北市中山區北安路637號,02-25331255,25.08373,121.549022,null
3501028050,許靜瑛小兒科診所,臺北市,大安區,106,,臺北市大安區和平東路1段230號1樓,02-23629088,25.02608,121.532311,null
3501113812,連安診所,臺北市,內湖區,114,,臺北市內湖區內湖路一段619號,02-26276705,25.0806698,121.57416,null
3501120335,陳志鑫診所,臺北市,南港區,115,,臺北市南港區八德路4段812號,02-27839698,25.0509295,121.581555,null
3501163241,陳信方小兒科診所,臺北市,北投區,112,,臺北市北投區明德路106號,02-28201068,25.1097375,121.5200367,null
3501163232,陳柏宏親子診所,臺北市,北投區,112,,臺北市北投區明德路124號,02-28225257,25.110072,121.5204545,null
3501100217,陳炯輝診所,臺北市,中山區,104,,臺北市民生東路2段103號,02-25221796,25.05808,121.5311319,null
3501161032,陳獻明小兒科診所,臺北市,北投區,112,,臺北市北投區中央南路1段69號,02-28928950,25.131447,121.501368,null
1501010010,博仁綜合醫院,臺北市,松山區,105,,臺北市松山區復勢里光復北路66號,02-25786677,25.0499097,121.5576835,null
3501028210,博安家庭醫學診所,臺北市,大安區,106,,臺北市大安區麗水街3號,02-23567066,25.0322264,121.5290175,null
3501107369,晴光診所,臺北市,中山區,104,,臺北市中山區林森北路556號,02-25853210,25.0642894,121.5254986,null
350102C389,智博診所,臺北市,大安區,106,,臺北市大安區信義路4段265巷11號,02-27099097,25.0340182,121.554492,null
3501114006,湖欣診所,臺北市,內湖區,114,,臺北市內湖區成功路四段327號,02-27918350,25.084475,121.599041,null
3501173336,登瑞安診所,臺北市,信義區,110,,臺北市信義區林口街232號,02-27265228,25.0425073,121.581341,null
3501012838,閎新耳鼻喉科皮膚科聯合診所,臺北市,松山區,105,,臺北市松山區八德路三段20-2號,02-25779898,25.0481,121.5510974,null
3501011279,馮子強診所,臺北市,松山區,105,,臺北市松山區民權東路三段160巷7號,02-87120622,25.0611367,121.5479755,null
3501029628,黃文香兒科診所,臺北市,大安區,106,,臺北市大安區忠孝東路4段250號2樓之一,02-27313305,25.0411942,121.55446,null
3501163036,黃正宏診所,臺北市,北投區,112,,臺北市北投區西安街1段359號,02-28217076,25.1142483,121.5153328,null
3501163170,黃浩魁小兒科診所,臺北市,北投區,112,,臺北市北投區中央北路1段168號,02-28983256,25.1356829,121.498289,null
3501202636,黃偉志小兒科診所,臺北市,文山區,116,,臺北市文山區萬慶街12號1F,02-29354556,24.992418,121.5400925,null
3501170835,黃啟彰診所,臺北市,信義區,110,,臺北市信義區松山路261-1號,02-27696218,25.0438009,121.578016,null
3501090814,黃博裕小兒科診所,臺北市,大同區,103,,臺北市大同區赤峰街49巷21號,02-25592440,25.055779,121.5203066,null
3501101358,黃喜祥小兒科診所,臺北市,中山區,104,,臺北市中山區民生東路2段84號,02-25616368,25.0578339,121.5305448,null
3501151474,黃蓉聯合診所,臺北市,士林區,111,,臺北市士林區社子街26號,02-28111572,25.0875206,121.5079494,null
3501153745,愛林診所,臺北市,士林區,111,,臺北市士林區承德路4段222號之1(之2),02-28836881,25.088437,121.521475,null
3501105767,愛鄰診所,臺北市,中山區,104,,臺北市中山區北安路520-1號,02-25322333,25.079673,121.54611,null
3501151901,慈田耳鼻喉科診所,臺北市,士林區,111,,臺北市士林區延平北路5段185號,02-28123595,25.083249,121.5099669,null
1101150011,新光醫療財團法人新光吳火獅紀念醫院,臺北市,士林區,111,,臺北市士林區文昌路95號,02-28332211,25.0962573,121.5204014,null
3501173685,新穎全診所,臺北市,信義區,110,,臺北市信義區和平東路三段265號,02-27325809,25.0224418,121.5548172,null
3501202467,瑞萱診所,臺北市,文山區,116,,臺北市文山區景華街142號1樓,02-29305133,24.996065,121.547421,null
3501121725,義仁兒科診所,臺北市,南港區,115,,臺北市南港區玉成街138號1樓,02-26515929,25.0450034,121.5832048,null
3501121734,義仁家醫診所,臺北市,南港區,115,,臺北市南港區玉成街138號1樓,02-26515929,25.0450034,121.5832048,null
3501100986,葉小兒科診所,臺北市,中山區,104,,臺北市中山區長春路227號,02-25054833,25.054887,121.538813,null
3501022727,葉明憲兒科診所,臺北市,大安區,106,,臺北市大安區羅斯福路3段191號2樓,02-23691688,25.0191293,121.5302009,null
3501200963,葉洪小兒科診所,臺北市,文山區,116,,臺北市文山區興隆路三段202號,02-22300055,24.9977048,121.5590435,null
3501010816,詹前俊小兒科診所,臺北市,松山區,105,,臺北市松山區民生東路五段105號,02-27653039,25.0588966,121.5600439,null
3501093913,寧夏診所,臺北市,大同區,103,,臺北市大同區民生西路236號1樓,02-25586060,25.0568765,121.5144404,null
3501103665,寧康聯合診所 ,臺北市,中山區,104,,臺北市遼寧街224號,02-25013862,25.056429,121.542035,null
3501107574,榮星診所,臺北市,中山區,104,,臺北市中山區龍江路272號,02-25168112,25.0606187,121.5406039,null
3501192251,漢宗小兒科診所,臺北市,萬華區,108,,臺北市萬華區中華路2段434號1樓,02-23039022,25.027116,121.506486,null
3501121832,維康診所,臺北市,南港區,115,,臺北市南港區研究院路2段84巷1號1樓,02-26517748,25.0452513,121.6152525,null
1301200010,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,臺北市,文山區,116,,臺北市文山區興隆路三段111號,02-29307930,24.9996897,121.5575845,null
101090517,臺北市立聯合醫院中興院區,臺北市,大同區,103,,臺北市大同區鄭州路145號,02-25553000,25.0509696,121.5093209,null
101090517,臺北市立聯合醫院仁愛院區,臺北市,大安區,106,,臺北市大安區仁愛路4段10號,02-27093600,25.037512,121.545224,null
101090517,臺北市立聯合醫院和平院區,臺北市,中正區,100,,臺北市中正區中華路2段33號,02-23889595,25.0355293,121.5066832,null
101090517,臺北市立聯合醫院忠孝院區,臺北市,南港區,115,,臺北市南港區同德路87號,02-27861288,25.0465327,121.5860755,null
2101150012,臺北市立聯合醫院附設士林門診部,臺北市,士林區,111,,臺北市士林區中正路439號,02-28836268,25.0927619,121.5195592,null
2101090011,臺北市立聯合醫院附設大同門診部,臺北市,大同區,103,,臺北市大同區昌吉街52號1樓,02-25948971,25.065787,121.51627,null
2101020019,臺北市立聯合醫院附設大安門診部,臺北市,大安區,106,,臺北市大安區辛亥路3段15號,02-27390997,25.0215769,121.544274,null
2101100227,臺北市立聯合醫院附設中山門診部,臺北市,中山區,104,,臺北市中山區松江路367號1樓,02-25013363,25.0643845,121.5335046,null
2101180038,臺北市立聯合醫院附設中正門診部(休診至107年12月28日),臺北市,中正區,100,,臺北市中正區牯嶺街24號1樓,02-23210168,25.0304135,121.51592,null
2101110027,臺北市立聯合醫院附設內湖門診部,臺北市,內湖區,114,,臺北市內湖區民權東路6段99號1樓,02-27908387,25.0693188,121.5890863,null
2101161033,臺北市立聯合醫院附設北投門診部,臺北市,北投區,112,,臺北市北投區新市街30號5樓,02-28912670,25.1328127,121.5025951,null
2101010013,臺北市立聯合醫院附設松山門診部,臺北市,松山區,105,,臺北市松山區八德路4段694號,02-27653147,25.0500179,121.5773161,null
2101170050,臺北市立聯合醫院附設信義門診部,臺北市,信義區,110,,臺北市信義區信義路五段15號1樓,02-87804152,25.0333271,121.5668474,null
2101120014,臺北市立聯合醫院附設南港門診部,臺北市,南港區,115,,臺北市南港區南港路一段360號1樓,02-27868756,25.0545242,121.6067996,null
2101200017,臺北市立聯合醫院附設政大門診部,臺北市,文山區,116,,臺北市文山區指南路二段117號,02-82377441,24.9876656,121.5763917,null
101090517,臺北市立聯合醫院婦幼院區,臺北市,中正區,100,,臺北市中正區福州街12號,02-23916471,25.029082,121.5192681,null
101090517,臺北市立聯合醫院陽明院區,臺北市,士林區,111,,臺北市士林區雨聲街105號,02-28389167,25.1053329,121.5317621,null
2101191068,臺北市立聯合醫院萬華聯合診所,臺北市,萬華區,108,,臺北市萬華區東園街152號1樓,02-23395383,25.0231545,121.497548,null
701160518,臺北市立關渡醫院-委託臺北榮民總醫院,臺北市,北投區,112,,臺北市北投區知行路225巷12號,02-28587107,25.1203139,121.4661286,null
601160016,臺北榮民總醫院,臺北市,北投區,112,,臺北市北投區石牌路2段201號,02-28712121,25.1192105,121.5203822,null
1301170017,臺北醫學大學附設醫院,臺北市,信義區,110,,臺北市信義區吳興街252號,02-27372181,25.0270409,121.5631091,null
3501010094,劉內兒科診所,臺北市,松山區,105,,臺北市松山區民生東路五段148號,02-27603922,25.058491,121.5621406,null
3501027491,劉建宏診所,臺北市,大安區,106,,臺北市大安區大安路2段139號,02-27002368,25.02855,121.5461772,null
3501201095,德安小兒科診所,臺北市,文山區,116,,臺北市文山區興隆路四段6-10號,02-29395299,24.989604,121.55958,null
3501103334,德美診所,臺北市,中山區,104,,臺北市中山區北安路596號1樓,02-25326618,25.08166,121.548887,null
3501104091,慶恩診所,臺北市,中山區,104,,臺北市中山區吉林路117號,02-25683199,25.056728,121.5302836,null
3501203259,樂群耳鼻喉科家醫科診所,臺北市,文山區,116,,臺北市文山區木新路三段202號,02-22340158,24.9817264,121.5600228,null
3501104377,樂群診所,臺北市,中山區,104,,臺北市中山區樂群2段210-2號1樓,02-85012268,25.079578,121.55952,null
3501160973,蔡秉勳小兒科診所,臺北市,北投區,112,,臺北市北投區中和街281號,02-28966525,25.140278,121.500361,null
3501120228,蔣小兒科診所,臺北市,南港區,115,,臺北市南港區玉成街166巷30號1樓,02-26513761,25.0439346,121.583328,null
3501103585,鄭志誠小兒科診所,臺北市,中山區,104,,臺北市中山區民生東路1段8號,02-25512246,25.0578291,121.5233323,null
3501150575,鄭醫師診所,臺北市,士林區,111,,臺北市士林區延平北路5段120號,02-28127412,25.0816813,121.5106305,null
3501202592,震杰小兒科診所,臺北市,文山區,116,,臺北市文山區景興路129號1F,02-89351869,24.9944479,121.544909,null
3501154475,樹爸爸親子診所,臺北市,士林區,111,,臺北市士林區德行東路286號,02-28381838,25.1099779,121.5360119,null
3501093048,澤民診所,臺北市,大同區,103,,臺北市大同區酒泉街104號,02-25963539,25.0718754,121.5143058,null
3501093557,澤康診所,臺北市,大同區,103,,臺北市大同區重慶北路3段71號1樓,02-25960922,25.0747228,121.5154671,null
3501200534,興隆內科小兒科診所,臺北市,文山區,116,,臺北市文山區興隆路二段17號,02-29311736,24.9989099,121.545417,null
3501200338,興隆李內兒科診所,臺北市,文山區,116,,臺北市文山區興隆路一段12號,02-29314537,25.0041658,121.5393423,null
3501151974,蕭雨青小兒科診所,臺北市,士林區,111,,臺北市士林區延平北路5段292號,02-28126415,25.0856758,121.5097707,null
3501093922,龍安莊耳鼻喉科診所,臺北市,大同區,103,,臺北市大同區大龍街227號,02-25991439,25.07081,121.515942,null
3501103503,龍江小兒科,臺北市,中山區,104,,臺北市中山區龍江路101-1號1樓,02-25152433,25.052063,121.5404718,null
3501174708,總站18號診所,臺北市,信義區,110,,臺北市信義區吳興街467巷2弄4號地下一樓,02-27296611,25.0286406,121.5619479,null
3501110811,謝小兒科診所,臺北市,內湖區,114,,臺北市內湖區東湖路147號2樓,02-26334535,25.0681719,121.6172214,null
3501107565,雙連婦產科小兒科診所,臺北市,中山區,104,,臺北市中山區民生西路30號4樓,02-25222350,25.0576741,121.52181,null
3501110482,雙湖診所,臺北市,內湖區,114,,臺北市內湖區金龍路49號,02-27910066,25.0849404,121.5936263,null
3501110188,魏穀年診所,臺北市,內湖區,114,,臺北市內湖區內湖路1段403號,02-26572691,25.0818493,121.5705411,null
3501091133,羅志弘診所,臺北市,大同區,103,,臺北市大同區重慶北路3段115號,02-25921666,25.067344,121.5139458,null
3501093299,羅源彰診所,臺北市,大同區,103,,臺北市大同區長安西路137號,02-25552500,25.0514479,121.515086,null
3501154448,耀明診所,臺北市,士林區,111,,臺北市士林區中正路322號,02-28320657,25.094724,121.52258,null
3501151161,蘇慧卿診所,臺北市,士林區,111,,臺北市士林區大南路274號,02-28829955,25.0887591,121.5197002,null
3501190168,劉小兒科診所,臺北市,萬華區,108,,臺北市萬華區康定路158號,02-23813156,25.039582,121.5017796,null
3501110571,劉淦華診所,臺北市,內湖區,114,,臺北市內湖區金龍路43號,02-27905374,25.0849314,121.5938903,null